January|1月
leave|去る、を置いていく、出発する
left|左
leg|脚
lend|貸す
let's|(一緒に)～しよう
letter|手紙
let|～に～させる(許可する)
library|図書館
life|生活、命
light|光、軽い
like|のような
listen|聞く(耳を向ける)
live|住む
local|地方の、地元の
lonely|さびしい
long|長い
look forward to ...|を楽しみに待つ
look|に見える
look|見る(目を向ける)
lose|負ける、を失う
lost|負けた、を失った（過去形）
loud|声の大きい
low|低い
lucky|幸運な
luggage|手荷物
made|作った（過去形）
magazine|雑誌
make all the difference|大きなちがいを生む
make|を作る
make|を～にする
many|たくさんの(数)
man|男性、男の人
map|地図
market|市場
math|数学
maybe|もしかすると
may|かもしれない
may|してもよい
meaning|意味
mean|を意味する、のつもり
meat|肉
meet|と会う
middle|真ん中
miss|さびしく思う(getしようとしてできない)
mistake|誤り
money|お金
moon|月(夜空に見える方)
more and more|ますます多くの
mother|母
mountain|山
mouth|口
move|を動かす
movie|映画
much|たくさん(量)
museum|博物館、美術館
music|音楽
must not|してはいけない
name|名前
near|の近くで
necessary|必要な
neck|首
need|を必要とする
neighbor|近所の人
newspaper|新聞
new|新しい
nose|鼻
not at all|少しもない
notebook|ノート
nothing|何もない
number|数、数字、番号
nurse|看護師
of course|もちろん
office|事務所
often|頻繁に
oil|油，石油
old|古い
only|～だけ
on|の上に(直接くっついて)
open|を開ける
opinion|意見
other|他の
own|自分自身の
paint|を(筆で)描く
pair|一組
paper|紙
parent|親
park|公園
part|部分
pass|を渡す
pass|を通り過ぎる
past|過去の
peace|平和
pencil|えんぴつ
people|人々
perhaps|多分
person|人
picture|絵、写真
piece|断片、個
place|場所
plant|植物
poor|貧しい
popular|人気のある
port|港
possible|可能な
practice|を練習する
price|値段
problem|問題
product|製品
purple|紫色
put|を置く
question|質問
quiet|静かな
rainy|雨(状態)の
rain|雨(状態ではなく、雨というもの)
ready|用意できている
read|を読む
reason|理由
receive|を受け取る
red|赤
remember|を思い出す
rest|休息
result|結果
return|帰る、戻る
rice|米、ご飯
rich|金持ちの
ride|に乗る
right|右、正しい
river|川
road|道
rock|岩
room|部屋
run|走る
sad|悲しい
said|言った（過去形）
same|同一の
save|を節約する
saw|を見た(が目に入った)（過去形）
say|を言う
scary|恐ろしい
school|学校
science|科学、理科
sea|海
see|を見る(が目に入る)
sell|を売る
send|を送る
sent|送った
share|を共有する、分ける
ship|船
shoe|くつ
shopping|買い物
shop|店
short|短い
shoulder|肩
show|を見せる
sick|病気の
signal|信号
sign|合図，標識
simple|単純な，簡単な
since|～以来
singer|歌手
sing|を歌う
sister|姉妹
sit|座る
sleepy|眠い
sleep|眠る
slowly|ゆっくりと
small|小さい
smile|ほほえむ
snowy|雪降り(状態)の
snow|雪(状態ではなく、雪そのもの)
someone|だれか，ある人
something|なにか
sometimes|ときどき
somewhere|どこかに
some|いくつかの
song|歌
son|息子
soon|すぐに
sound|に聞こえる
speak|(言語など)を話す
special|特別の
speech|演説
spend|を過ごす、を費す
stand|立つ
star|星
station|駅
stay|滞在する
still|今でもまだ
stop|止める
story|物語
straight|真っすぐに
strange|奇妙な
street|通り
strong|強い
student|生徒
study|を勉強する
subject|教科、科目
such|そのような
sunny|晴れの
sun|太陽
sure|確信して
surprise|驚かす
survive|生き残る
swimming|水泳
swim|泳ぐ
table|テーブル
take care of|を大事にする、世話する
take|を撮る、持っていく、連れていく
talk|会話する、おしゃべりする
tall|背が高い
taught|教えた
teacher|教師
teach|を教える
tear|涙
tell|に話す
temple|寺
textbook|教科書
than|よりも
their|彼らの、彼女らの
themselves|彼ら自身、彼女ら自身
them|彼らを、彼女らを
then|そのとき、すると
there|そこに
these|これらの
they|彼らは、彼女らは
thing|もの、こと
think|考える
those|あれらの
through|を通り抜けて
throw|投げる
time|時間、回
tired|疲れて(状態)
together|一緒に
told|に伝えた
took|撮った、持っていった、連れていった
too|～すぎる
touch|にさわる
town|町
traditional|伝統的な
train|列車
travel (trip)|旅行
tree|木
try|を試す
